,epochs,training_loss,lr,rec_train_losses,pde_train_losses,ic_train_losses,bc_train_losses,weight_rec,weight_pde,weight_ic,weight_bc
56,56,0.03881538286805153,0.001,0.0,0.04270854755304754,0.06646366755012423,0.0072739293245831504,1.0,1.0,1.0,1.0
57,57,0.03895565331913531,0.001,0.0,0.042853159946389496,0.06673688464798033,0.007276912001543678,1.0,1.0,1.0,1.0
58,58,0.03875422046985477,0.001,0.0,0.04286174080334604,0.06602573569398373,0.007375180211965926,1.0,1.0,1.0,1.0
59,59,0.03826193977147341,0.001,0.0,0.04250137973576784,0.06505553354509175,0.007228902191855013,1.0,1.0,1.0,1.0
60,60,0.03797061450313777,0.001,0.0,0.04217845946550369,0.06473438744433224,0.006998992874287069,1.0,1.0,1.0,1.0
61,61,0.03771225013770163,0.001,0.0,0.04204910050611943,0.06397969019599259,0.00710795697523281,1.0,1.0,1.0,1.0
62,62,0.03684563690330833,0.001,0.0,0.04129218077287078,0.06218544254079461,0.007059283525450155,1.0,1.0,1.0,1.0
63,63,0.03707829851191491,0.001,0.0,0.041687311604619026,0.06279031140729785,0.006757268536603078,1.0,1.0,1.0,1.0
64,64,0.03653049061540514,0.001,0.0,0.041262225015088916,0.061504158773459494,0.006825083546573296,1.0,1.0,1.0,1.0
65,65,0.03647021914366633,0.001,0.0,0.041773372096940875,0.06096957321278751,0.006667709836619906,1.0,1.0,1.0,1.0
66,66,0.035917213768698275,0.001,0.0,0.04063168342690915,0.0604354334063828,0.006684521460556425,1.0,1.0,1.0,1.0
67,67,0.0357549759792164,0.001,0.0,0.04124865832272917,0.059289330849424005,0.006726935433107428,1.0,1.0,1.0,1.0
68,68,0.03525886149145663,0.001,0.0,0.04001068230718374,0.05904254666529596,0.0067233525041956455,1.0,1.0,1.0,1.0
69,69,0.0353009644895792,0.001,0.0,0.040532246814109385,0.05874702404253185,0.006623618814046495,1.0,1.0,1.0,1.0
70,70,0.03518653230275959,0.001,0.0,0.040288038086146116,0.05882632301654667,0.006445232836995274,1.0,1.0,1.0,1.0
